algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean
a2c,42,100,0.12,9.7,6,50,,,
a2c,42,200,0.18,10.12,9,50,,,
a2c,42,300,0.1,9.62,5,50,,,
a2c,42,400,0.1,10.36,5,50,,,
a2c,42,500,0.1,10.3,5,50,,,
a2c,42,600,0.08,10.62,4,50,,,
a2c,42,700,0.12,10.2,6,50,,,
a2c,42,800,0.18,10.94,9,50,,,
a2c,42,900,0.16,10.32,8,50,,,
a2c,42,1000,0.22,10.78,11,50,,,
a2c,42,1100,0.2,10.96,10,50,,,
a2c,42,1200,0.18,11.7,9,50,,,
a2c,42,1300,0.16,11.54,8,50,,,
a2c,42,1400,0.2,11.56,10,50,,,
a2c,42,1500,0.14,11.28,7,50,,,
a2c,42,1600,0.16,11.28,8,50,,,
a2c,42,1700,0.14,11.4,7,50,,,
a2c,42,1800,0.2,11.2,10,50,,,
a2c,42,1900,0.2,11.22,10,50,,,
a2c,42,2000,0.24,11.6,12,50,,,
a2c,42,2100,0.22,11.18,11,50,,,
a2c,42,2200,0.22,11.18,11,50,,,
a2c,42,2300,0.22,10.82,11,50,,,
a2c,42,2400,0.26,11.84,13,50,,,
a2c,42,2500,0.22,11.66,11,50,,,
a2c,42,2600,0.22,11.74,11,50,,,
a2c,42,2700,0.2,11.74,10,50,,,
a2c,42,2800,0.24,12.38,12,50,,,
a2c,42,2900,0.24,12.68,12,50,,,
a2c,42,3000,0.24,12.7,12,50,,,
a2c,42,3100,0.26,13.08,13,50,,,
a2c,42,3200,0.22,12.86,11,50,,,
a2c,42,3300,0.24,12.76,12,50,,,
a2c,42,3400,0.22,12.58,11,50,,,
a2c,42,3500,0.26,12.94,13,50,,,
a2c,42,3600,0.28,12.9,14,50,,,
a2c,42,3700,0.24,12.86,12,50,,,
a2c,42,3800,0.28,12.96,14,50,,,
a2c,42,3900,0.22,12.72,11,50,,,
a2c,42,4000,0.24,12.44,12,50,,,
a2c,42,4100,0.26,13.06,13,50,,,
a2c,42,4200,0.28,12.66,14,50,,,
a2c,42,4300,0.26,12.68,13,50,,,
a2c,42,4400,0.24,12.58,12,50,,,
a2c,42,4500,0.24,13.0,12,50,,,
a2c,42,4600,0.2,12.72,10,50,,,
a2c,42,4700,0.2,12.74,10,50,,,
a2c,42,4800,0.26,13.0,13,50,,,
a2c,42,4900,0.28,13.16,14,50,,,
a2c,42,5000,0.26,13.44,13,50,,,
a2c,123,100,0.08,10.84,4,50,,,
a2c,123,200,0.04,10.38,2,50,,,
a2c,123,300,0.08,11.08,4,50,,,
a2c,123,400,0.12,10.86,6,50,,,
a2c,123,500,0.2,11.32,10,50,,,
a2c,123,600,0.18,11.3,9,50,,,
a2c,123,700,0.16,10.98,8,50,,,
a2c,123,800,0.2,12.0,10,50,,,
a2c,123,900,0.24,11.7,12,50,,,
a2c,123,1000,0.18,11.06,9,50,,,
a2c,123,1100,0.2,12.2,10,50,,,
a2c,123,1200,0.18,12.14,9,50,,,
a2c,123,1300,0.2,12.0,10,50,,,
a2c,123,1400,0.22,12.06,11,50,,,
a2c,123,1500,0.24,12.18,12,50,,,
a2c,123,1600,0.22,12.62,11,50,,,
a2c,123,1700,0.24,13.0,12,50,,,
a2c,123,1800,0.22,12.96,11,50,,,
a2c,123,1900,0.28,13.18,14,50,,,
a2c,123,2000,0.3,12.92,15,50,,,
a2c,123,2100,0.28,13.08,14,50,,,
a2c,123,2200,0.28,13.3,14,50,,,
a2c,123,2300,0.28,12.86,14,50,,,
a2c,123,2400,0.22,13.02,11,50,,,
a2c,123,2500,0.26,13.4,13,50,,,
a2c,123,2600,0.22,13.02,11,50,,,
a2c,123,2700,0.24,13.28,12,50,,,
a2c,123,2800,0.28,13.7,14,50,,,
a2c,123,2900,0.28,13.36,14,50,,,
a2c,123,3000,0.28,13.74,14,50,,,
a2c,123,3100,0.3,13.4,15,50,,,
a2c,123,3200,0.3,13.64,15,50,,,
a2c,123,3300,0.3,13.52,15,50,,,
a2c,123,3400,0.3,13.62,15,50,,,
a2c,123,3500,0.3,13.46,15,50,,,
a2c,123,3600,0.34,13.9,17,50,,,
a2c,123,3700,0.36,13.56,18,50,,,
a2c,123,3800,0.32,13.86,16,50,,,
a2c,123,3900,0.34,13.88,17,50,,,
a2c,123,4000,0.3,14.16,15,50,,,
a2c,123,4100,0.28,14.28,14,50,,,
a2c,123,4200,0.28,14.18,14,50,,,
a2c,123,4300,0.32,14.2,16,50,,,
a2c,123,4400,0.36,14.42,18,50,,,
a2c,123,4500,0.36,14.06,18,50,,,
a2c,123,4600,0.32,14.16,16,50,,,
a2c,123,4700,0.36,13.74,18,50,,,
a2c,123,4800,0.32,14.12,16,50,,,
a2c,123,4900,0.32,14.26,16,50,,,
a2c,123,5000,0.3,13.94,15,50,,,
a2c,456,100,0.04,8.96,2,50,,,
a2c,456,200,0.08,9.42,4,50,,,
a2c,456,300,0.1,10.64,5,50,,,
a2c,456,400,0.1,10.28,5,50,,,
a2c,456,500,0.16,10.52,8,50,,,
a2c,456,600,0.18,11.08,9,50,,,
a2c,456,700,0.16,10.08,8,50,,,
a2c,456,800,0.18,11.14,9,50,,,
a2c,456,900,0.16,10.98,8,50,,,
a2c,456,1000,0.16,11.2,8,50,,,
a2c,456,1100,0.16,10.9,8,50,,,
a2c,456,1200,0.16,11.3,8,50,,,
a2c,456,1300,0.18,10.84,9,50,,,
a2c,456,1400,0.2,10.9,10,50,,,
a2c,456,1500,0.2,11.2,10,50,,,
a2c,456,1600,0.18,10.94,9,50,,,
a2c,456,1700,0.2,12.08,10,50,,,
a2c,456,1800,0.24,12.74,12,50,,,
a2c,456,1900,0.16,11.6,8,50,,,
a2c,456,2000,0.22,12.38,11,50,,,
a2c,456,2100,0.18,12.3,9,50,,,
a2c,456,2200,0.2,12.46,10,50,,,
a2c,456,2300,0.22,12.22,11,50,,,
a2c,456,2400,0.26,12.46,13,50,,,
a2c,456,2500,0.22,12.58,11,50,,,
a2c,456,2600,0.22,12.24,11,50,,,
a2c,456,2700,0.22,12.08,11,50,,,
a2c,456,2800,0.2,12.34,10,50,,,
a2c,456,2900,0.26,12.52,13,50,,,
a2c,456,3000,0.28,12.38,14,50,,,
a2c,456,3100,0.26,12.12,13,50,,,
a2c,456,3200,0.26,12.9,13,50,,,
a2c,456,3300,0.3,12.74,15,50,,,
a2c,456,3400,0.28,13.22,14,50,,,
a2c,456,3500,0.24,13.24,12,50,,,
a2c,456,3600,0.26,13.52,13,50,,,
a2c,456,3700,0.26,13.62,13,50,,,
a2c,456,3800,0.2,13.28,10,50,,,
a2c,456,3900,0.22,13.06,11,50,,,
a2c,456,4000,0.28,13.34,14,50,,,
a2c,456,4100,0.26,13.66,13,50,,,
a2c,456,4200,0.32,13.76,16,50,,,
a2c,456,4300,0.28,13.96,14,50,,,
a2c,456,4400,0.24,13.56,12,50,,,
a2c,456,4500,0.28,13.86,14,50,,,
a2c,456,4600,0.3,13.62,15,50,,,
a2c,456,4700,0.24,13.42,12,50,,,
a2c,456,4800,0.24,13.32,12,50,,,
a2c,456,4900,0.28,13.74,14,50,,,
a2c,456,5000,0.28,13.82,14,50,,,
dqn,42,100,0.02,9.02,1,50,,,
dqn,42,200,0.12,11.4,6,50,,,
dqn,42,300,0.2,11.5,10,50,,,
dqn,42,400,0.16,11.18,8,50,,,
dqn,42,500,0.2,10.74,10,50,,,
dqn,42,600,0.08,10.16,4,50,,,
dqn,42,700,0.14,9.88,7,50,,,
dqn,42,800,0.1,10.56,5,50,,,
dqn,42,900,0.14,9.76,7,50,,,
dqn,42,1000,0.08,10.82,4,50,,,
dqn,42,1100,0.08,10.06,4,50,,,
dqn,42,1200,0.12,9.78,6,50,,,
dqn,42,1300,0.1,9.38,5,50,,,
dqn,42,1400,0.08,9.4,4,50,,,
dqn,42,1500,0.1,9.7,5,50,,,
dqn,42,1600,0.06,9.02,3,50,,,
dqn,42,1700,0.06,9.0,3,50,,,
dqn,42,1800,0.06,11.28,3,50,,,
dqn,42,1900,0.06,9.12,3,50,,,
dqn,42,2000,0.08,9.16,4,50,,,
dqn,42,2100,0.04,8.7,2,50,,,
dqn,42,2200,0.06,8.96,3,50,,,
dqn,42,2300,0.08,8.82,4,50,,,
dqn,42,2400,0.08,10.76,4,50,,,
dqn,42,2500,0.02,9.52,1,50,,,
dqn,42,2600,0.04,9.94,2,50,,,
dqn,42,2700,0.04,8.82,2,50,,,
dqn,42,2800,0.0,9.5,0,50,,,
dqn,42,2900,0.08,10.32,4,50,,,
dqn,42,3000,0.06,9.7,3,50,,,
dqn,42,3100,0.06,9.42,3,50,,,
dqn,42,3200,0.04,10.14,2,50,,,
dqn,42,3300,0.06,9.6,3,50,,,
dqn,42,3400,0.0,10.2,0,50,,,
dqn,42,3500,0.08,10.7,4,50,,,
dqn,42,3600,0.08,10.5,4,50,,,
dqn,42,3700,0.12,10.5,6,50,,,
dqn,42,3800,0.06,10.0,3,50,,,
dqn,42,3900,0.02,9.78,1,50,,,
dqn,42,4000,0.08,9.44,4,50,,,
dqn,42,4100,0.06,10.9,3,50,,,
dqn,42,4200,0.06,10.86,3,50,,,
dqn,42,4300,0.08,10.94,4,50,,,
dqn,42,4400,0.12,10.84,6,50,,,
dqn,42,4500,0.12,11.12,6,50,,,
dqn,42,4600,0.12,10.9,6,50,,,
dqn,42,4700,0.14,10.66,7,50,,,
dqn,42,4800,0.1,10.48,5,50,,,
dqn,42,4900,0.22,11.06,11,50,,,
dqn,42,5000,0.12,10.68,6,50,,,
dqn,123,100,0.08,9.54,4,50,,,
dqn,123,200,0.16,10.8,8,50,,,
dqn,123,300,0.08,10.6,4,50,,,
dqn,123,400,0.14,10.76,7,50,,,
dqn,123,500,0.22,10.88,11,50,,,
dqn,123,600,0.26,10.64,13,50,,,
dqn,123,700,0.1,10.22,5,50,,,
dqn,123,800,0.08,9.82,4,50,,,
dqn,123,900,0.1,10.32,5,50,,,
dqn,123,1000,0.08,10.4,4,50,,,
dqn,123,1100,0.0,8.64,0,50,,,
dqn,123,1200,0.04,8.64,2,50,,,
dqn,123,1300,0.1,9.7,5,50,,,
dqn,123,1400,0.04,9.74,2,50,,,
dqn,123,1500,0.08,9.54,4,50,,,
dqn,123,1600,0.06,9.86,3,50,,,
dqn,123,1700,0.04,9.18,2,50,,,
dqn,123,1800,0.14,9.66,7,50,,,
dqn,123,1900,0.1,9.96,5,50,,,
dqn,123,2000,0.06,9.16,3,50,,,
dqn,123,2100,0.14,9.34,7,50,,,
dqn,123,2200,0.18,10.36,9,50,,,
dqn,123,2300,0.1,10.4,5,50,,,
dqn,123,2400,0.04,9.2,2,50,,,
dqn,123,2500,0.1,10.1,5,50,,,
dqn,123,2600,0.08,9.4,4,50,,,
dqn,123,2700,0.1,9.72,5,50,,,
dqn,123,2800,0.14,8.92,7,50,,,
dqn,123,2900,0.02,9.46,1,50,,,
dqn,123,3000,0.1,9.92,5,50,,,
dqn,123,3100,0.16,10.28,8,50,,,
dqn,123,3200,0.08,10.56,4,50,,,
dqn,123,3300,0.0,10.24,0,50,,,
dqn,123,3400,0.14,11.02,7,50,,,
dqn,123,3500,0.12,9.68,6,50,,,
dqn,123,3600,0.08,10.16,4,50,,,
dqn,123,3700,0.14,10.42,7,50,,,
dqn,123,3800,0.14,10.54,7,50,,,
dqn,123,3900,0.16,10.4,8,50,,,
dqn,123,4000,0.08,10.44,4,50,,,
dqn,123,4100,0.18,11.22,9,50,,,
dqn,123,4200,0.1,10.08,5,50,,,
dqn,123,4300,0.14,10.38,7,50,,,
dqn,123,4400,0.1,10.14,5,50,,,
dqn,123,4500,0.14,11.1,7,50,,,
dqn,123,4600,0.18,12.52,9,50,,,
dqn,123,4700,0.04,11.3,2,50,,,
dqn,123,4800,0.16,11.82,8,50,,,
dqn,123,4900,0.22,11.62,11,50,,,
dqn,123,5000,0.04,10.78,2,50,,,
dqn,456,100,0.04,9.38,2,50,,,
dqn,456,200,0.16,11.0,8,50,,,
dqn,456,300,0.16,11.42,8,50,,,
dqn,456,400,0.22,11.76,11,50,,,
dqn,456,500,0.16,11.2,8,50,,,
dqn,456,600,0.08,11.14,4,50,,,
dqn,456,700,0.06,10.3,3,50,,,
dqn,456,800,0.02,10.4,1,50,,,
dqn,456,900,0.18,11.1,9,50,,,
dqn,456,1000,0.02,9.02,1,50,,,
dqn,456,1100,0.08,9.7,4,50,,,
dqn,456,1200,0.02,9.4,1,50,,,
dqn,456,1300,0.16,11.34,8,50,,,
dqn,456,1400,0.08,9.44,4,50,,,
dqn,456,1500,0.02,10.2,1,50,,,
dqn,456,1600,0.04,10.18,2,50,,,
dqn,456,1700,0.06,9.94,3,50,,,
dqn,456,1800,0.02,9.5,1,50,,,
dqn,456,1900,0.02,9.3,1,50,,,
dqn,456,2000,0.06,8.68,3,50,,,
dqn,456,2100,0.04,9.02,2,50,,,
dqn,456,2200,0.04,9.32,2,50,,,
dqn,456,2300,0.04,10.08,2,50,,,
dqn,456,2400,0.06,9.58,3,50,,,
dqn,456,2500,0.06,9.78,3,50,,,
dqn,456,2600,0.06,9.36,3,50,,,
dqn,456,2700,0.1,9.76,5,50,,,
dqn,456,2800,0.04,9.92,2,50,,,
dqn,456,2900,0.1,10.12,5,50,,,
dqn,456,3000,0.14,10.96,7,50,,,
dqn,456,3100,0.08,10.1,4,50,,,
dqn,456,3200,0.06,9.02,3,50,,,
dqn,456,3300,0.12,10.6,6,50,,,
dqn,456,3400,0.12,9.6,6,50,,,
dqn,456,3500,0.06,9.64,3,50,,,
dqn,456,3600,0.12,10.54,6,50,,,
dqn,456,3700,0.08,10.08,4,50,,,
dqn,456,3800,0.14,9.72,7,50,,,
dqn,456,3900,0.14,10.4,7,50,,,
dqn,456,4000,0.08,10.92,4,50,,,
dqn,456,4100,0.18,10.98,9,50,,,
dqn,456,4200,0.22,10.52,11,50,,,
dqn,456,4300,0.2,11.2,10,50,,,
dqn,456,4400,0.08,10.7,4,50,,,
dqn,456,4500,0.08,10.04,4,50,,,
dqn,456,4600,0.14,10.68,7,50,,,
dqn,456,4700,0.12,11.36,6,50,,,
dqn,456,4800,0.2,11.68,10,50,,,
dqn,456,4900,0.16,11.46,8,50,,,
dqn,456,5000,0.14,11.84,7,50,,,
ablation_no_conservative,42,100,0.18,13.08,9,50,,,
ablation_no_conservative,42,200,0.34,14.44,17,50,,,
ablation_no_conservative,42,300,0.3,14.44,15,50,,,
ablation_no_conservative,42,400,0.32,14.52,16,50,,,
ablation_no_conservative,42,500,0.36,14.56,18,50,,,
ablation_no_conservative,42,600,0.34,14.56,17,50,,,
ablation_no_conservative,42,700,0.36,14.58,18,50,,,
ablation_no_conservative,42,800,0.32,13.68,16,50,,,
ablation_no_conservative,42,900,0.32,13.36,16,50,,,
ablation_no_conservative,42,1000,0.32,13.12,16,50,,,
ablation_no_conservative,42,1100,0.32,13.16,16,50,,,
ablation_no_conservative,42,1200,0.32,13.36,16,50,,,
ablation_no_conservative,42,1300,0.32,12.16,16,50,,,
ablation_no_conservative,42,1400,0.32,12.28,16,50,,,
ablation_no_conservative,42,1500,0.32,11.88,16,50,,,
ablation_no_conservative,42,1600,0.28,11.4,14,50,,,
ablation_no_conservative,42,1700,0.28,11.1,14,50,,,
ablation_no_conservative,42,1800,0.28,11.1,14,50,,,
ablation_no_conservative,42,1900,0.28,11.1,14,50,,,
ablation_no_conservative,42,2000,0.28,11.1,14,50,,,
ablation_no_conservative,42,2100,0.28,11.1,14,50,,,
ablation_no_conservative,42,2200,0.28,11.1,14,50,,,
ablation_no_conservative,42,2300,0.28,11.1,14,50,,,
ablation_no_conservative,42,2400,0.28,11.1,14,50,,,
ablation_no_conservative,42,2500,0.28,11.1,14,50,,,
ablation_no_conservative,42,2600,0.28,11.1,14,50,,,
ablation_no_conservative,42,2700,0.28,11.1,14,50,,,
ablation_no_conservative,42,2800,0.28,11.1,14,50,,,
