algorithm,seed,step,success_rate,mean_score
persistent_z,42,3100,0.32,14.52
persistent_z,42,3200,0.36,14.58
persistent_z,42,3300,0.32,14.52
persistent_z,42,3400,0.32,14.52
persistent_z,42,3500,0.32,14.52
persistent_z,42,3600,0.32,14.52
persistent_z,42,3700,0.32,14.54
persistent_z,42,3800,0.32,14.52
persistent_z,42,3900,0.32,14.6
persistent_z,42,4000,0.34,14.6
persistent_z,42,4100,0.34,14.6
persistent_z,42,4200,0.34,14.56
persistent_z,42,4300,0.34,14.6
persistent_z,42,4400,0.38,14.62
persistent_z,42,4500,0.36,14.72
persistent_z,42,4600,0.38,14.64
persistent_z,42,4700,0.38,14.64
persistent_z,42,4800,0.32,14.6
persistent_z,42,4900,0.32,14.7
persistent_z,42,5000,0.44,14.76
persistent_z,123,100,0.3,13.3
persistent_z,123,200,0.32,14.22
persistent_z,123,300,0.32,14.44
persistent_z,123,400,0.28,14.06
persistent_z,123,500,0.14,13.36
persistent_z,123,600,0.02,12.64
persistent_z,123,700,0.14,13.44
persistent_z,123,800,0.08,13.0
persistent_z,123,900,0.04,12.48
persistent_z,123,1000,0.04,12.76
persistent_z,123,1100,0.04,12.76
persistent_z,123,1200,0.04,12.58
persistent_z,123,1300,0.04,12.76
persistent_z,123,1400,0.04,12.76
persistent_z,123,1500,0.04,12.76
persistent_z,123,1600,0.04,12.76
persistent_z,123,1700,0.0,12.6
persistent_z,123,1800,0.0,12.52
persistent_z,123,1900,0.0,12.6
persistent_z,123,2000,0.0,12.52
persistent_z,123,2100,0.0,12.52
persistent_z,123,2200,0.0,12.6
persistent_z,123,2300,0.0,12.52
persistent_z,123,2400,0.0,12.52
persistent_z,123,2500,0.0,12.6
persistent_z,123,2600,0.0,12.52
persistent_z,123,2700,0.0,12.6
persistent_z,123,2800,0.0,12.52
persistent_z,123,2900,0.0,12.6
persistent_z,123,3000,0.0,12.6
persistent_z,123,3100,0.0,12.52
persistent_z,123,3200,0.0,12.6
persistent_z,123,3300,0.0,12.6
persistent_z,123,3400,0.0,12.6
persistent_z,123,3500,0.0,12.6
persistent_z,123,3600,0.0,12.6
persistent_z,123,3700,0.0,12.6
persistent_z,123,3800,0.0,12.6
persistent_z,123,3900,0.0,12.6
persistent_z,123,4000,0.0,12.6
persistent_z,123,4100,0.0,12.6
persistent_z,123,4200,0.0,12.6
persistent_z,123,4300,0.0,12.6
persistent_z,123,4400,0.0,12.6
persistent_z,123,4500,0.0,12.6
persistent_z,123,4600,0.0,12.6
persistent_z,123,4700,0.0,12.6
persistent_z,123,4800,0.0,12.6
persistent_z,123,4900,0.0,12.6
persistent_z,123,5000,0.0,12.6
persistent_z,456,100,0.2,12.38
persistent_z,456,200,0.2,13.5
persistent_z,456,300,0.2,13.8
persistent_z,456,400,0.16,13.6
persistent_z,456,500,0.16,13.56
persistent_z,456,600,0.18,13.68
persistent_z,456,700,0.22,13.68
persistent_z,456,800,0.24,13.72
persistent_z,456,900,0.2,13.68
persistent_z,456,1000,0.2,13.62
persistent_z,456,1100,0.22,13.68
persistent_z,456,1200,0.16,13.64
persistent_z,456,1300,0.16,13.56
persistent_z,456,1400,0.16,13.56
persistent_z,456,1500,0.16,13.6
persistent_z,456,1600,0.16,13.64
persistent_z,456,1700,0.2,13.64
persistent_z,456,1800,0.16,13.6
persistent_z,456,1900,0.2,13.74
persistent_z,456,2000,0.16,13.56
persistent_z,456,2100,0.16,13.58
persistent_z,456,2200,0.2,13.66
persistent_z,456,2300,0.2,13.66
persistent_z,456,2400,0.16,13.62
persistent_z,456,2500,0.2,13.66
persistent_z,456,2600,0.16,13.58
persistent_z,456,2700,0.18,13.62
persistent_z,456,2800,0.2,13.66
persistent_z,456,2900,0.16,13.58
persistent_z,456,3000,0.2,13.68
persistent_z,456,3100,0.2,13.64
persistent_z,456,3200,0.24,13.8
persistent_z,456,3300,0.2,13.66
persistent_z,456,3400,0.22,13.74
persistent_z,456,3500,0.2,13.66
persistent_z,456,3600,0.22,13.74
persistent_z,456,3700,0.22,13.72
persistent_z,456,3800,0.18,13.66
persistent_z,456,3900,0.24,13.68
persistent_z,456,4000,0.26,13.7
persistent_z,456,4100,0.24,13.68
persistent_z,456,4200,0.24,13.8
persistent_z,456,4300,0.24,13.72
persistent_z,456,4400,0.24,13.76
persistent_z,456,4500,0.22,13.66
persistent_z,456,4600,0.24,13.76
persistent_z,456,4700,0.24,13.68
persistent_z,456,4800,0.3,13.9
persistent_z,456,4900,0.26,13.74
persistent_z,456,5000,0.22,13.7
persistent_z_no_contraction,42,100,0.24,13.02
persistent_z_no_contraction,42,200,0.28,14.04
persistent_z_no_contraction,42,300,0.28,13.92
persistent_z_no_contraction,42,400,0.32,14.62
persistent_z_no_contraction,42,500,0.36,14.66
persistent_z_no_contraction,42,600,0.44,14.78
persistent_z_no_contraction,42,700,0.38,14.78
persistent_z_no_contraction,42,800,0.44,14.78
persistent_z_no_contraction,42,900,0.44,14.72
persistent_z_no_contraction,42,1000,0.54,15.06
persistent_z_no_contraction,42,1100,0.54,15.12
persistent_z_no_contraction,42,1200,0.54,15.04
persistent_z_no_contraction,42,1300,0.68,15.4
persistent_z_no_contraction,42,1400,0.74,15.5
persistent_z_no_contraction,42,1500,0.62,15.4
persistent_z_no_contraction,42,1600,0.84,15.64
persistent_z_no_contraction,42,1700,0.78,15.5
persistent_z_no_contraction,42,1800,0.82,15.58
persistent_z_no_contraction,42,1900,0.84,15.72
persistent_z_no_contraction,42,2000,0.82,15.68
persistent_z_no_contraction,42,2100,0.9,15.8
persistent_z_no_contraction,42,2200,0.84,15.76
persistent_z_no_contraction,42,2300,0.84,15.76
persistent_z_no_contraction,42,2400,0.92,15.88
persistent_z_no_contraction,42,2500,0.86,15.82
persistent_z_no_contraction,42,2600,0.9,15.9
persistent_z_no_contraction,42,2700,0.88,15.84
persistent_z_no_contraction,42,2800,0.9,15.86
persistent_z_no_contraction,42,2900,0.84,15.84
persistent_z_no_contraction,42,3000,0.9,15.86
persistent_z_no_contraction,42,3100,0.92,15.88
persistent_z_no_contraction,42,3200,0.9,15.82
persistent_z_no_contraction,42,3300,0.9,15.9
persistent_z_no_contraction,42,3400,0.9,15.9
persistent_z_no_contraction,42,3500,0.88,15.88
persistent_z_no_contraction,42,3600,0.86,15.82
persistent_z_no_contraction,42,3700,0.9,15.9
persistent_z_no_contraction,42,3800,0.88,15.84
persistent_z_no_contraction,42,3900,0.88,15.88
persistent_z_no_contraction,42,4000,0.88,15.88
persistent_z_no_contraction,42,4100,0.88,15.88
persistent_z_no_contraction,42,4200,0.92,15.92
persistent_z_no_contraction,42,4300,0.92,15.92
persistent_z_no_contraction,42,4400,0.88,15.84
persistent_z_no_contraction,42,4500,0.88,15.84
persistent_z_no_contraction,42,4600,0.88,15.84
persistent_z_no_contraction,42,4700,0.94,15.94
persistent_z_no_contraction,42,4800,0.94,15.94
persistent_z_no_contraction,42,4900,0.92,15.88
persistent_z_no_contraction,42,5000,0.96,15.96
persistent_z_no_contraction,123,100,0.32,12.88
persistent_z_no_contraction,123,200,0.32,14.28
persistent_z_no_contraction,123,300,0.3,14.16
persistent_z_no_contraction,123,400,0.36,14.66
persistent_z_no_contraction,123,500,0.38,14.6
persistent_z_no_contraction,123,600,0.38,14.64
persistent_z_no_contraction,123,700,0.46,14.84
persistent_z_no_contraction,123,800,0.42,14.78
persistent_z_no_contraction,123,900,0.44,14.92
persistent_z_no_contraction,123,1000,0.5,15.06
persistent_z_no_contraction,123,1100,0.56,15.12
persistent_z_no_contraction,123,1200,0.64,15.28
persistent_z_no_contraction,123,1300,0.66,15.42
persistent_z_no_contraction,123,1400,0.68,15.3
persistent_z_no_contraction,123,1500,0.78,15.54
persistent_z_no_contraction,123,1600,0.72,15.6
persistent_z_no_contraction,123,1700,0.72,15.48
persistent_z_no_contraction,123,1800,0.84,15.6
persistent_z_no_contraction,123,1900,0.76,15.56
persistent_z_no_contraction,123,2000,0.8,15.68
persistent_z_no_contraction,123,2100,0.86,15.64
persistent_z_no_contraction,123,2200,0.7,15.52
persistent_z_no_contraction,123,2300,0.84,15.62
persistent_z_no_contraction,123,2400,0.82,15.68
persistent_z_no_contraction,123,2500,0.9,15.76
persistent_z_no_contraction,123,2600,0.88,15.74
persistent_z_no_contraction,123,2700,0.9,15.76
persistent_z_no_contraction,123,2800,0.86,15.72
persistent_z_no_contraction,123,2900,0.78,15.74
persistent_z_no_contraction,123,3000,0.92,15.92
persistent_z_no_contraction,123,3100,0.92,15.92
persistent_z_no_contraction,123,3200,0.92,15.88
persistent_z_no_contraction,123,3300,0.92,15.92
persistent_z_no_contraction,123,3400,0.92,15.92
persistent_z_no_contraction,123,3500,0.92,15.92
persistent_z_no_contraction,123,3600,0.92,15.92
persistent_z_no_contraction,123,3700,0.92,15.92
persistent_z_no_contraction,123,3800,0.92,15.92
persistent_z_no_contraction,123,3900,0.92,15.88
persistent_z_no_contraction,123,4000,0.92,15.88
persistent_z_no_contraction,123,4100,0.92,15.88
persistent_z_no_contraction,123,4200,0.92,15.88
persistent_z_no_contraction,123,4300,0.88,15.84
persistent_z_no_contraction,123,4400,0.92,15.88
persistent_z_no_contraction,123,4500,0.92,15.92
persistent_z_no_contraction,123,4600,0.92,15.92
persistent_z_no_contraction,123,4700,0.92,15.92
persistent_z_no_contraction,123,4800,0.92,15.92
persistent_z_no_contraction,123,4900,0.92,15.92
persistent_z_no_contraction,123,5000,0.92,15.92
persistent_z_no_contraction,456,100,0.18,12.2
persistent_z_no_contraction,456,200,0.3,14.1
persistent_z_no_contraction,456,300,0.3,14.12
persistent_z_no_contraction,456,400,0.36,14.64
persistent_z_no_contraction,456,500,0.36,14.56
persistent_z_no_contraction,456,600,0.32,14.64
persistent_z_no_contraction,456,700,0.38,14.66
persistent_z_no_contraction,456,800,0.44,14.96
persistent_z_no_contraction,456,900,0.5,14.84
persistent_z_no_contraction,456,1000,0.5,15.12
persistent_z_no_contraction,456,1100,0.6,15.22
persistent_z_no_contraction,456,1200,0.64,15.28
persistent_z_no_contraction,456,1300,0.68,15.38
persistent_z_no_contraction,456,1400,0.6,15.24
persistent_z_no_contraction,456,1500,0.72,15.44
persistent_z_no_contraction,456,1600,0.74,15.58
persistent_z_no_contraction,456,1700,0.84,15.6
persistent_z_no_contraction,456,1800,0.86,15.76
persistent_z_no_contraction,456,1900,0.8,15.68
persistent_z_no_contraction,456,2000,0.84,15.76
persistent_z_no_contraction,456,2100,0.88,15.84
persistent_z_no_contraction,456,2200,0.86,15.74
persistent_z_no_contraction,456,2300,0.88,15.8
persistent_z_no_contraction,456,2400,0.84,15.8
persistent_z_no_contraction,456,2500,0.88,15.8
persistent_z_no_contraction,456,2600,0.88,15.8
persistent_z_no_contraction,456,2700,0.88,15.8
persistent_z_no_contraction,456,2800,0.92,15.84
persistent_z_no_contraction,456,2900,0.92,15.84
persistent_z_no_contraction,456,3000,0.92,15.84
persistent_z_no_contraction,456,3100,0.92,15.92
persistent_z_no_contraction,456,3200,0.92,15.88
persistent_z_no_contraction,456,3300,0.92,15.88
persistent_z_no_contraction,456,3400,0.9,15.9
persistent_z_no_contraction,456,3500,0.92,15.92
persistent_z_no_contraction,456,3600,0.92,15.92
persistent_z_no_contraction,456,3700,0.88,15.84
persistent_z_no_contraction,456,3800,0.92,15.88
persistent_z_no_contraction,456,3900,0.92,15.92
persistent_z_no_contraction,456,4000,0.92,15.92
persistent_z_no_contraction,456,4100,0.92,15.88
persistent_z_no_contraction,456,4200,0.92,15.92
persistent_z_no_contraction,456,4300,0.92,15.92
persistent_z_no_contraction,456,4400,0.92,15.88
persistent_z_no_contraction,456,4500,0.92,15.88
persistent_z_no_contraction,456,4600,0.92,15.88
persistent_z_no_contraction,456,4700,0.92,15.92
persistent_z_no_contraction,456,4800,0.92,15.88
persistent_z_no_contraction,456,4900,0.92,15.88
persistent_z_no_contraction,456,5000,0.92,15.88
